193,Local Education Agency,b'Gull-billed tern' b'Northern Elelphant Seal' SCHOOLS,1274 b'Bangus' NORTH AVE
194,Local Education Agency,b'Gull-billed tern' b'Killer Whale' SCHOOL DISTRICT,1087 b'Atlantic cod' NORTH AVE
195,Local Education Agency,b'Gull-billed tern' b'Virginia Opossom' SCHOOL DISTRICT,781 b'Cod icefish' WAY
196,Local Education Agency,b'Gull-billed tern' b'Bengal Tiger' DISTRICT,716 b'Orangestriped triggerfish' SOUTH AVE
197,Local Education Agency,b'Gull-billed tern' b'Gato Huina' SCHOOL DISTRICT,1292 b'Morid cod' NORTH AVE
198,Local Education Agency,b'Gull-billed tern' b'Grizzly' COUNTY SCHOOLS,859 b'Long-finned pike' ROAD
199,Local Education Agency,b'Gull-billed tern' b'Olingo' SD,712 b'Kissing gourami' STREET
200,Local Education Agency,b'Spectacled owl' b'Tiger Cat' DISTRICT,1224 b'Weeverfish' STREET
201,Local Education Agency,"b'Spectacled owl' b""Verraux's Sifaka"" COUNTY SCHOOLS",178 b'Pacific salmon' STREET
202,Local Education Agency,b'Spectacled owl' b'Hartebeest' DISTRICT,1180 b'False moray' NORTH AVE
203,Local Education Agency,b'Spectacled owl' b'Black Tail Prairie Dog' SCHOOLS,391 b'Parrotfish' NORTH AVE
204,Local Education Agency,b'Spectacled owl' b'Southern Impala' SCHOOLS,30 b'Northern clingfish' WAY
205,Local Education Agency,b'Spectacled owl' b'Northern Elelphant Seal' DISTRICT,1236 b'Slickhead' WAY
206,Local Education Agency,b'Spectacled owl' b'Killer Whale' SD,1290 b'Electric catfish' STREET
207,Local Education Agency,b'Spectacled owl' b'Virginia Opossom' DISTRICT,720 b'Glass knifefish' STREET
208,Local Education Agency,b'Spectacled owl' b'Bengal Tiger' PUBLIC SHCOOLS,772 b'Russian sturgeon' NORTH AVE
209,Local Education Agency,b'Spectacled owl' b'Gato Huina' SD,1324 b'Sea raven' STREET
210,Local Education Agency,b'Spectacled owl' b'Grizzly' DISTRICT,1000 b'Lighthousefish' WAY
211,Local Education Agency,b'Spectacled owl' b'Olingo' SCHOOL DISTRICT,886 b'Ponyfish' WAY
212,Local Education Agency,b'White-tailed kite' b'Tiger Cat' DISTRICT,1299 b'Atlantic silverside' AVE
213,Local Education Agency,"b'White-tailed kite' b""Verraux's Sifaka"" DISTRICT",1288 b'Stingray' ROAD
214,Local Education Agency,b'White-tailed kite' b'Hartebeest' PUBLIC SHCOOLS,1253 b'Cavefish' ROAD
215,Local Education Agency,b'White-tailed kite' b'Black Tail Prairie Dog' SCHOOLS,136 b'Bramble shark' SOUTH AVE
216,Local Education Agency,b'White-tailed kite' b'Southern Impala' SD,471 b'Freshwater flyingfish' NORTH AVE
217,Local Education Agency,b'White-tailed kite' b'Northern Elelphant Seal' PUBLIC SHCOOLS,1036 b'Gianttail' ROAD
218,Local Education Agency,b'White-tailed kite' b'Killer Whale' PUBLIC SHCOOLS,724 b'Pompano' NORTH AVE
219,Local Education Agency,b'White-tailed kite' b'Virginia Opossom' SD,233 b'Sind danio' ROAD
220,Local Education Agency,b'White-tailed kite' b'Bengal Tiger' PUBLIC SHCOOLS,115 b'Yellowfin grouper' NORTH AVE
221,Local Education Agency,b'White-tailed kite' b'Gato Huina' COUNTY SCHOOLS,1238 b'Warbonnet' NORTH AVE
222,Local Education Agency,b'White-tailed kite' b'Grizzly' DISTRICT,613 b'Ratfish' AVE
223,Local Education Agency,b'White-tailed kite' b'Olingo' COUNTY SCHOOLS,1008 b'Swampfish' WAY
224,Local Education Agency,b'Red-throated caracara' b'Tiger Cat' PUBLIC SHCOOLS,962 b'Modoc sucker' STREET
225,Local Education Agency,"b'Red-throated caracara' b""Verraux's Sifaka"" SCHOOLS",1191 b'Snipe eel' STREET
226,Local Education Agency,b'Red-throated caracara' b'Hartebeest' DISTRICT,658 b'Mojarra' STREET
227,Local Education Agency,b'Red-throated caracara' b'Black Tail Prairie Dog' SCHOOLS,735 b'Greeneye' SOUTH AVE
228,Local Education Agency,b'Red-throated caracara' b'Southern Impala' COUNTY SCHOOLS,412 b'Trevally' ROAD
229,Local Education Agency,b'Red-throated caracara' b'Northern Elelphant Seal' PUBLIC SHCOOLS,396 b'Ziege' SOUTH AVE
230,Local Education Agency,b'Red-throated caracara' b'Killer Whale' DISTRICT,911 b'Queen triggerfish' AVE
231,Local Education Agency,b'Red-throated caracara' b'Virginia Opossom' COUNTY SCHOOLS,1090 b'Mosquitofish' AVE
232,Local Education Agency,b'Red-throated caracara' b'Bengal Tiger' SD,882 b'Sleeper shark' NORTH AVE
233,Local Education Agency,b'Red-throated caracara' b'Gato Huina' PUBLIC SHCOOLS,538 b'Dab' ROAD
234,Local Education Agency,b'Red-throated caracara' b'Grizzly' SCHOOLS,1154 b'Darter' SOUTH AVE
235,Local Education Agency,b'Red-throated caracara' b'Olingo' PUBLIC SHCOOLS,950 b'Blue shark' AVE
236,Local Education Agency,b'Piratic flycatcher' b'Tiger Cat' SCHOOL DISTRICT,401 b'Tarwhine' SOUTH AVE
237,Local Education Agency,"b'Piratic flycatcher' b""Verraux's Sifaka"" SD",922 b'Seahorse' ROAD
238,Local Education Agency,b'Piratic flycatcher' b'Hartebeest' DISTRICT,285 b'European perch' ROAD
239,Local Education Agency,b'Piratic flycatcher' b'Black Tail Prairie Dog' SCHOOLS,1286 b'Flier' AVE
240,Local Education Agency,b'Piratic flycatcher' b'Southern Impala' SD,676 b'Antarctic cod' AVE
241,Local Education Agency,b'Piratic flycatcher' b'Northern Elelphant Seal' SCHOOL DISTRICT,1103 b'Elephantnose fish' NORTH AVE
242,Local Education Agency,b'Piratic flycatcher' b'Killer Whale' SCHOOLS,734 b'Yellowfin croaker' WAY
243,Local Education Agency,b'Piratic flycatcher' b'Virginia Opossom' SCHOOLS,119 b'River shark' AVE
244,Local Education Agency,b'Piratic flycatcher' b'Bengal Tiger' SCHOOLS,1082 b'Marblefish' STREET
245,Local Education Agency,b'Piratic flycatcher' b'Gato Huina' COUNTY SCHOOLS,38 b'Mola' SOUTH AVE
246,Local Education Agency,b'Piratic flycatcher' b'Grizzly' PUBLIC SHCOOLS,461 b'Reedfish' NORTH AVE
247,Local Education Agency,b'Piratic flycatcher' b'Olingo' SD,587 b'Bigeye squaretail' ROAD
248,Local Education Agency,"b'Rock pigeon, feral' b'Tiger Cat' PUBLIC SHCOOLS",578 b'Snapper' STREET
249,Local Education Agency,"b'Rock pigeon, feral' b""Verraux's Sifaka"" PUBLIC SHCOOLS",152 b'Bullhead shark' NORTH AVE
250,Local Education Agency,"b'Rock pigeon, feral' b'Hartebeest' COUNTY SCHOOLS",845 b'Sundaland noodlefish' NORTH AVE
251,Local Education Agency,"b'Rock pigeon, feral' b'Black Tail Prairie Dog' SCHOOL DISTRICT",59 b'Oarfish' AVE
252,Local Education Agency,"b'Rock pigeon, feral' b'Southern Impala' DISTRICT",416 b'Hussar' STREET
253,Local Education Agency,"b'Rock pigeon, feral' b'Northern Elelphant Seal' DISTRICT",193 b'Lightfish' WAY
254,Local Education Agency,"b'Rock pigeon, feral' b'Killer Whale' PUBLIC SHCOOLS",910 b'Pencilfish' WAY
255,Local Education Agency,"b'Rock pigeon, feral' b'Virginia Opossom' PUBLIC SHCOOLS",75 b'Rainbow trout' STREET
256,Local Education Agency,"b'Rock pigeon, feral' b'Bengal Tiger' SCHOOL DISTRICT",216 b'Knifefish' WAY
257,Local Education Agency,"b'Rock pigeon, feral' b'Gato Huina' COUNTY SCHOOLS",125 b'Rock cod' ROAD
258,Local Education Agency,"b'Rock pigeon, feral' b'Grizzly' DISTRICT",1050 b'Temperate perch' STREET
259,Local Education Agency,"b'Rock pigeon, feral' b'Olingo' COUNTY SCHOOLS",749 b'Slimehead' AVE
260,Local Education Agency,b'Grey-breasted crake' b'Tiger Cat' COUNTY SCHOOLS,147 b'Shortnose greeneye' STREET
261,Local Education Agency,"b'Grey-breasted crake' b""Verraux's Sifaka"" DISTRICT",26 b'Straptail' WAY
262,Local Education Agency,b'Grey-breasted crake' b'Hartebeest' PUBLIC SHCOOLS,678 b'Quillback' STREET
263,Local Education Agency,b'Grey-breasted crake' b'Black Tail Prairie Dog' SCHOOLS,146 b'Marlin' SOUTH AVE
264,Local Education Agency,b'Grey-breasted crake' b'Southern Impala' PUBLIC SHCOOLS,460 b'Betta' NORTH AVE
265,Local Education Agency,b'Grey-breasted crake' b'Northern Elelphant Seal' SCHOOLS,1327 b'Asiatic glassfish' NORTH AVE
266,Local Education Agency,b'Grey-breasted crake' b'Killer Whale' SD,170 b'Zebra loach' WAY
267,Local Education Agency,b'Grey-breasted crake' b'Virginia Opossom' COUNTY SCHOOLS,655 b'Riffle dace' WAY
268,Local Education Agency,b'Grey-breasted crake' b'Bengal Tiger' PUBLIC SHCOOLS,694 b'King-of-the-salmon' ROAD
269,Local Education Agency,b'Grey-breasted crake' b'Gato Huina' COUNTY SCHOOLS,746 b'Squaretail' WAY
270,Local Education Agency,b'Grey-breasted crake' b'Grizzly' COUNTY SCHOOLS,602 b'Footballfish' NORTH AVE
271,Local Education Agency,b'Grey-breasted crake' b'Olingo' COUNTY SCHOOLS,745 b'Spiny dogfish' WAY
272,Local Education Agency,b'Variable seedeater' b'Tiger Cat' SCHOOL DISTRICT,357 b'Dragon goby' STREET
273,Local Education Agency,"b'Variable seedeater' b""Verraux's Sifaka"" DISTRICT",154 b'Whitefish' AVE
274,Local Education Agency,b'Variable seedeater' b'Hartebeest' PUBLIC SHCOOLS,870 b'Creek chub' AVE
275,Local Education Agency,b'Variable seedeater' b'Black Tail Prairie Dog' COUNTY SCHOOLS,925 b'Paradise fish' ROAD
276,Local Education Agency,b'Variable seedeater' b'Southern Impala' PUBLIC SHCOOLS,904 b'Orbicular batfish' STREET
277,Local Education Agency,b'Variable seedeater' b'Northern Elelphant Seal' SD,1207 b'Beaked salmon' STREET
278,Local Education Agency,b'Variable seedeater' b'Killer Whale' SD,729 b'Sea chub' WAY
279,Local Education Agency,b'Variable seedeater' b'Virginia Opossom' SD,833 b'Spiderfish' AVE
280,Local Education Agency,b'Variable seedeater' b'Bengal Tiger' SD,974 b'Wolf-eel' STREET
281,Local Education Agency,b'Variable seedeater' b'Gato Huina' SCHOOL DISTRICT,245 b'Sea devil' STREET
282,Local Education Agency,b'Variable seedeater' b'Grizzly' COUNTY SCHOOLS,523 b'Cuchia' AVE
283,Local Education Agency,b'Variable seedeater' b'Olingo' PUBLIC SHCOOLS,1189 b'Australian lungfish' NORTH AVE
284,Local Education Agency,b'Fulvous-crested tanager' b'Tiger Cat' SCHOOL DISTRICT,651 b'Black scalyfin' ROAD
285,Local Education Agency,"b'Fulvous-crested tanager' b""Verraux's Sifaka"" SCHOOLS",424 b'Snubnose eel' SOUTH AVE
286,Local Education Agency,b'Fulvous-crested tanager' b'Hartebeest' DISTRICT,110 b'Marine hatchetfish' STREET
287,Local Education Agency,b'Fulvous-crested tanager' b'Black Tail Prairie Dog' COUNTY SCHOOLS,224 b'Dhufish' AVE
288,Local Education Agency,b'Fulvous-crested tanager' b'Southern Impala' PUBLIC SHCOOLS,990 b'Electric knifefish' NORTH AVE
289,Local Education Agency,b'Fulvous-crested tanager' b'Northern Elelphant Seal' PUBLIC SHCOOLS,1150 b'Codling' AVE
290,Local Education Agency,b'Fulvous-crested tanager' b'Killer Whale' SCHOOL DISTRICT,58 b'Southern smelt' NORTH AVE
291,Local Education Agency,b'Fulvous-crested tanager' b'Virginia Opossom' SCHOOL DISTRICT,492 b'Pikeperch' NORTH AVE
292,Local Education Agency,b'Fulvous-crested tanager' b'Bengal Tiger' SCHOOLS,693 b'Topminnow' NORTH AVE
293,Local Education Agency,b'Fulvous-crested tanager' b'Gato Huina' PUBLIC SHCOOLS,951 b'Sarcastic fringehead' ROAD
294,Local Education Agency,b'Fulvous-crested tanager' b'Grizzly' COUNTY SCHOOLS,302 b'Zebra shark' AVE
295,Local Education Agency,b'Fulvous-crested tanager' b'Olingo' DISTRICT,392 b'Rainbowfish' SOUTH AVE
296,Local Education Agency,b'Long-winged antwren' b'Tiger Cat' DISTRICT,631 b'Red salmon' ROAD
297,Local Education Agency,"b'Long-winged antwren' b""Verraux's Sifaka"" COUNTY SCHOOLS",848 b'Handfish' ROAD
298,Local Education Agency,b'Long-winged antwren' b'Hartebeest' DISTRICT,803 b'Green swordtail' WAY
299,Local Education Agency,b'Long-winged antwren' b'Black Tail Prairie Dog' SCHOOLS,930 b'Tenpounder' SOUTH AVE
300,Local Education Agency,b'Long-winged antwren' b'Southern Impala' PUBLIC SHCOOLS,623 b'Warty angler' STREET
301,Local Education Agency,b'Long-winged antwren' b'Northern Elelphant Seal' DISTRICT,130 b'Chimaera' ROAD
302,Local Education Agency,b'Long-winged antwren' b'Killer Whale' SCHOOLS,114 b'Northern Stargazer' WAY
303,Local Education Agency,b'Long-winged antwren' b'Virginia Opossom' PUBLIC SHCOOLS,1190 b'Torpedo' ROAD
304,Local Education Agency,b'Long-winged antwren' b'Bengal Tiger' DISTRICT,1031 b'Soldierfish' WAY
305,Local Education Agency,b'Long-winged antwren' b'Gato Huina' PUBLIC SHCOOLS,388 b'Trumpetfish' ROAD
306,Local Education Agency,b'Long-winged antwren' b'Grizzly' SD,116 b'Grouper' WAY
307,Local Education Agency,b'Long-winged antwren' b'Olingo' DISTRICT,92 b'Lost River sucker' ROAD
308,Local Education Agency,b'Great tinamou' b'Tiger Cat' DISTRICT,430 b'Icefish' ROAD
310,School,b'Ziege' b'Badger captive' ELEMENTARY,6 b'Red-crowned woodpecker' AVE
1533,School,b'Skilfish' b'Florida Manatee' ELEM,"5 b""Finsch's euphonia"" NORTH AVE"
14298,School,b'Crocodile shark' b'Chauve-souris Cendree' ELEMENTARY SCHOOL,9 b'Dusky parrot' STREET
14300,School,"b'Crocodile shark' b'False Killer Whale' CETR, ELEM",14 b'Yellow-crowned parrot' STREET
14302,School,b'Pacific viperfish' b'Chauve-souris Cendree' JUNIOR HIGH,17 b'Lesser elaenia' NORTH AVE
14304,School,b'Pacific viperfish' b'False Killer Whale' SENIOR HIGH,5 b'Caica parrot' ROAD
70688,School,b'Japanese eel' b'Northern Elephant Seal Pup' EL SCH,2 b'Waved woodpecker' WAY
71891,School,b'Ratfish' b'Cape Hare' EL SCH,1 b'Lesser kiskadee' STREET
85174,School,"b'Surfperch' b""Crawshay's Zebra"" SCHOOL",9 b'White-necked heron' ROAD
94159,School,b'Broadband dogfish' b'Snow Leopard' SCH,4 b'Black-headed gull' NORTH AVE
104300,School,b'Red snapper' b'Cape Golden Mole' SCH,8 b'Pale-breasted spinetail' WAY
119755,School,b'Ragfish' b'Deer Mice' EL SCH,8 b'Shiny cowbird' ROAD
129133,School,b'Bull shark' b'Blacktail Prairie Dog' ELEM,9 b'Short-tailed pygmy-tyrant' STREET
144872,School,b'Shortnose chimaera' b'Tasmanian Pademelon' PRIMARY,"76 b""Finsch's euphonia"" WAY"
144874,School,b'Shortnose chimaera' b'Giraffe' EL SCH,54 b'Variable seedeater' STREET
144876,School,b'Barracudina' b'Musk Ox' ELEMENTARY,14 b'White-winged swallow' WAY
144878,School,"b'Barracudina' b'Tasmanian Pademelon' CETR, ELEM",12 b'Crested bobwhite' ROAD
144880,School,b'Barracudina' b'Giraffe' PRIMARY,17 b'Collared plover' SOUTH AVE
144882,School,b'Sleeper' b'Musk Ox' EL SCH,6 b'Paradise jacamar' STREET
144884,School,b'Sleeper' b'Tasmanian Pademelon' PRIMARY,4 b'Chestnut-bellied seedeater' STREET
144886,School,b'Sleeper' b'Giraffe' EL SCH,71 b'Black-collared hawk' NORTH AVE
228051,School,b'Rice eel' b'Long-legged Myotis' SCH,1 b'Masked duck' ROAD
237486,School,b'Lake trout' b'Orangutan' ELEMENTARY SCHOOL,74 b'American wigeon' WAY
237488,School,"b'Lake trout' b'Bison' CETR, ELEM",38 b'Smooth-billed ani' STREET
237490,School,b'Soapfish' b'Cat' SCH,52 b'Guira tanager' WAY
237492,School,b'Soapfish' b'Orangutan' ELEMENTARY SCHOOL,72 b'Bank swallow' STREET
237494,School,b'Soapfish' b'Bison' COMMUNITY MIDDLE,35 b'Pied lapwing' AVE
237496,School,b'Gurnard' b'Cat' MS,61 b'Plumbeous seedeater' SOUTH AVE
237498,School,b'Gurnard' b'Orangutan' MIDDLE,43 b'Aplomado falcon' SOUTH AVE
237500,School,b'Gurnard' b'Bison' MIDDLE,58 b'Grey-crowned flycatcher' WAY
329177,School,b'Pompano dolphinfish' b'Venado Cola Blanca' CTR,3 b'Green-throated mango' AVE
336341,School,b'Neon tetra' b'Northern Red Backed Vole' SCH,7 b'Guianan red cotinga' STREET
336343,School,b'Snipe eel' b'Domestic cow' ELEM,23 b'Point-tailed palmcreeper' STREET
336345,School,b'Snipe eel' b'Northern Red Backed Vole' ELEM,9 b'Green aracari' SOUTH AVE
370734,School,b'Dorado' b'Grey Wolf' ELEMENTARY,39 b'White-breasted woodwren' AVE
370736,School,b'Dorado' b'Cape Mountain Zebra' ELEMENTARY SCHOOL,37 b'Black-tailed tityra' SOUTH AVE
370738,School,b'Algae eater' b'Grey Wolf' CTR,29 b'Black-throated mango' SOUTH AVE
370740,School,b'Algae eater' b'Cape Mountain Zebra' EL SCH,2 b'Purple gallinule' ROAD
406046,School,b'Handfish' b'False Killer Whale' CTR,4 b'Masked duck' STREET
420567,School,"b'Black tetra' b'Coyote Track' CETR, ELEM",2 b'Blue-crowned motmot' WAY
423066,School,b'Flagfin' b'Gaur' SCH,4 b'Plain-bellied hummingbird' NORTH AVE
423068,School,b'Flagfin' b'Lesser Bush Baby' MIDDLE,16 b'Semipalmated sandpiper' SOUTH AVE
443381,School,"b'Tiger shark' b""Douglas' Squirrel"" SCH",5 b'Black curassow' WAY
451912,School,"b'Spearfish' b'Common Wildebeest' CETR, ELEM",6 b'Fork-tailed palm-swift' NORTH AVE
451914,School,b'Spearfish' b'Yellow-bellied Marmot' SCH,13 b'Mouse-colored tyrannulet' NORTH AVE
457991,School,b'Yellow perch' b'Blacktail Prairie Dog' ELEM,2 b'Silvered antbird' WAY
461922,School,b'Sculpin' b'Malayan Tapir' PRIMARY,33 b'Musician wren' NORTH AVE
461924,School,b'Sculpin' b'Desert Woodrat nest' ELEMENTARY,7 b'Eared dove' WAY
461926,School,b'French angelfish' b'Malayan Tapir' ELEMENTARY SCHOOL,5 b'Grey(-lined) hawk' ROAD
461928,School,b'French angelfish' b'Desert Woodrat nest' SCH,36 b'Black-headed parrot' AVE
503256,School,b'Trumpetfish' b'Jabali' CTR,13 b'Royal tern' ROAD
503258,School,b'Trumpetfish' b'Gray Fox' ELEMENTARY,46 b'Red-shouldered tanager' SOUTH AVE
503260,School,b'Lake trout' b'Gray Wolf' PRIMARY,27 b'White-chinned sapphire' ROAD
503262,School,b'Lake trout' b'Jabali' ELEMENTARY,39 b'Yellow-green grosbeak' SOUTH AVE
503264,School,"b'Lake trout' b'Gray Fox' CETR, ELEM",31 b'Black caracara' NORTH AVE
543826,School,b'Torpedo' b'Horses' PRIMARY,12 b'Yellow-headed caracara' NORTH AVE
543828,School,b'Torpedo' b'Brown Hyaena' SCH,15 b'Large-billed seed-finch' NORTH AVE
553208,School,b'Damselfish' b'Raccoon' PRIMARY,9 b'White-necked jacobin' NORTH AVE
553210,School,b'Damselfish' b'Asian Elephant' PRIMARY,6 b'Palm tanager' STREET
553212,School,b'Peladillo' b'Raccoon' PRIMARY,38 b'Red-eyed vireo' NORTH AVE
553214,School,"b'Peladillo' b'Asian Elephant' CETR, ELEM",28 b'Gull-billed tern' STREET
601731,School,b'Seatrout' b'African Bush Elephant' EL SCH,33 b'Bobolink' SOUTH AVE
601733,School,b'Seatrout' b'Meerkat' SCH,23 b'Black-necked aracari' ROAD
601735,School,"b'Silverside' b'African Bush Elephant' CETR, ELEM",21 b'Fork-tailed palm-swift' SOUTH AVE
601737,School,b'Silverside' b'Meerkat' ELEM,6 b'Plain-crowned spinetail' WAY
645998,School,b'Tetra' b'Pika Or Cony' ELEMENTARY,6 b'Red-bellied macaw' AVE
646000,School,b'Tetra' b'Moutain Reedbuck' ELEMENTARY SCHOOL,7 b'Black-faced hawk' NORTH AVE
646002,School,b'Dragonfish' b'Cape Hunting Dogs dens' CTR,"16 b""Swainson's flycatcher"" STREET"
646004,School,b'Dragonfish' b'Pika Or Cony' PRIMARY,41 b'Black-tailed tityra' STREET
646006,School,b'Dragonfish' b'Moutain Reedbuck' EL SCH,48 b'Collared plover' ROAD
680705,School,b'Basking shark' b'Manatee Calf' ELEMENTARY,6 b'Buff-breasted wren' AVE
692566,School,b'Yellow bass' b'Coastal Sheathtail Bat' SCH,4 b'White-necked puffbird' ROAD
704605,School,b'Marblefish' b'African Civet' PRIMARY,10 b'Hooded tanager' AVE
704607,School,b'Marblefish' b'Aardwolf' ELEMENTARY,33 b'Aplomado falcon' NORTH AVE
704609,School,b'Bigeye squaretail' b'Achuni' ELEMENTARY SCHOOL,36 b'Toco toucan' STREET
704611,School,b'Bigeye squaretail' b'African Civet' ELEM,43 b'Golden-olive woodpecker' NORTH AVE
704613,School,b'Bigeye squaretail' b'Aardwolf' ELEMENTARY SCHOOL,70 b'Crested bobwhite' SOUTH AVE
704615,School,b'Milkfish' b'Achuni' EL SCH,59 b'Masked yellowthroat' AVE
704617,School,b'Milkfish' b'African Civet' ELEM,62 b'Collared trogon' STREET
704619,School,b'Milkfish' b'Aardwolf' CTR,73 b'Great horned owl' NORTH AVE
791793,School,b'Bleak' b'Harbor Seals' ELEMENTARY,4 b'Spot-tailed nightjar' AVE
802203,School,"b'Pigfish' b'South American Coati' CETR, ELEM",63 b'House wren' NORTH AVE
802205,School,b'Pigfish' b'Golden Lion Tamarin' ELEM,8 b'Ash-throated crake' SOUTH AVE
802207,School,b'Pigfish' b'New Zealand Fur-seal' ELEMENTARY,16 b'Common snipe' STREET
802209,School,b'Trout' b'South American Coati' ELEMENTARY SCHOOL,70 b'Rufous-throated antbird' ROAD
802211,School,b'Trout' b'Golden Lion Tamarin' EL SCH,28 b'Harpy eagle' ROAD
802213,School,b'Trout' b'New Zealand Fur-seal' INTERMEDIATE SCHOOL,66 b'Ruddy ground-dove' ROAD
802215,School,b'Sailfin silverside' b'South American Coati' HIGH,18 b'White-chinned sapphire' NORTH AVE
802217,School,b'Sailfin silverside' b'Golden Lion Tamarin' SCH,83 b'Red-capped cardinal' STREET
802219,School,b'Sailfin silverside' b'New Zealand Fur-seal' SCHOOL,79 b'Cream-colored woodpecker' SOUTH AVE
885818,School,b'Electric knifefish' b'Chipmunk' CTR,30 b'Capped heron' SOUTH AVE
885820,School,b'Electric knifefish' b'Mantled Howler Monkey' PRIMARY,42 b'Maguari stork' AVE
885822,School,b'Gizzard shad' b'Gorilla' ELEM,22 b'Streaked antwren' ROAD
885824,School,b'Gizzard shad' b'Chipmunk' CTR,62 b'Yellow-bellied elaenia' SOUTH AVE
885826,School,"b'Gizzard shad' b'Mantled Howler Monkey' CETR, ELEM",8 b'Black-tailed trogon' AVE
885828,School,b'Pike conger' b'Gorilla' JUNIOR HIGH,17 b'Blue-headed parrot' AVE
885830,School,b'Pike conger' b'Chipmunk' HIGH,73 b'Grey-breasted crake' SOUTH AVE
885832,School,b'Pike conger' b'Mantled Howler Monkey' SCHOOL,45 b'Guira tanager' AVE
965641,School,b'Squaretail' b'Axis Deer' ELEMENTARY SCHOOL,11 b'Screaming piha' ROAD
965643,School,b'Mooneye' b'Whale' ELEM,44 b'Point-tailed palmcreeper' ROAD
965645,School,"b'Mooneye' b'Slender-horned Gazelle' CETR, ELEM",63 b'White woodpecker' NORTH AVE
965647,School,b'Mooneye' b'Axis Deer' EL SCH,12 b'Whimbrel' WAY
965649,School,b'Zebrafish' b'Whale' JR MIDDLE,38 b'White-tailed kite' AVE
965651,School,b'Zebrafish' b'Slender-horned Gazelle' COMMUNITY MIDDLE,29 b'American golden plover' ROAD
965653,School,b'Zebrafish' b'Axis Deer' HIGH SCHOOL,46 b'Capuchin bird' NORTH AVE
1052819,School,b'Hoki' b'Eastern Grey Kangaroo' ELEMENTARY SCHOOL,2 b'Wood stork' ROAD
1056683,School,b'Whale shark' b'Western Pocket Gopher' PRIMARY,5 b'Brown pelican' ROAD
1056685,School,"b'Whale shark' b'Pig-tailed Macaque' CETR, ELEM",47 b'Blue-and-yellow macaw' NORTH AVE
1056687,School,b'Bowfin' b'Gaur' CTR,21 b'Ringed kingfisher' SOUTH AVE
1056689,School,b'Bowfin' b'Western Pocket Gopher' ELEMENTARY SCHOOL,48 b'Painted parakeet' SOUTH AVE
1056691,School,b'Bowfin' b'Pig-tailed Macaque' EL SCH,"1 b""McConnell's flycatcher"" WAY"
1105350,School,b'Arctic char' b'African Savannah Elephant' ELEM,147 b'Yellow warbler' SOUTH AVE
1105352,School,b'Arctic char' b'Wild Boar' ELEMENTARY SCHOOL,"144 b""Lesson's seedeater"" SOUTH AVE"
1105354,School,b'Arctic char' b'Bushpig' ELEM,13 b'Mouse-colored antshrike' WAY
1105356,School,"b'Arctic char' b'Yellow Baboon' CETR, ELEM",60 b'Waved woodpecker' NORTH AVE
1105358,School,b'Electric ray' b'African Savannah Elephant' ELEMENTARY SCHOOL,137 b'Crested oropendola' NORTH AVE
1105360,School,b'Electric ray' b'Wild Boar' MS,17 b'Burrowing owl' NORTH AVE
1105362,School,b'Electric ray' b'Bushpig' JR MIDDLE,51 b'Black-headed gull' SOUTH AVE
1105364,School,b'Electric ray' b'Yellow Baboon' JR MIDDLE,97 b'Squirrel cuckoo' STREET
1105366,School,b'Jawfish' b'African Savannah Elephant' MS,65 b'Pectoral sparrow' NORTH AVE
