column_map_key,phase,source_table,source_column,target_table,target_column,transformation_rule,stored_proc_name,stored_proc_created_date,created_date
,1,LZ_JSON,performance_levels.level_5.cut_point,INT_SBAC_ASMT,score_cut_point_4,clean,,,
,1,LZ_JSON,overall.max_score,INT_SBAC_ASMT,score_overall_max,clean,,,
,1,LZ_JSON,overall.min_score,INT_SBAC_ASMT,score_overall_min,clean,,,
,1,LZ_JSON,identification.subject,INT_SBAC_ASMT,subject,subjectType,,,
,1,LZ_JSON,identification.type,INT_SBAC_ASMT,type,asmtType,,,
,1,LZ_JSON,identification.version,INT_SBAC_ASMT,version,clean,,,
,1,LZ_JSON,identification.year,INT_SBAC_ASMT,year,clean,,,
,1,LZ_CSV,address_student_city,STG_SBAC_ASMT_OUTCOME,address_student_city,clean,,,
,1,LZ_CSV,address_student_line1,STG_SBAC_ASMT_OUTCOME,address_student_line1,clean,,,
,1,LZ_CSV,address_student_line2,STG_SBAC_ASMT_OUTCOME,address_student_line2,clean,,,
,1,LZ_CSV,address_student_zip,STG_SBAC_ASMT_OUTCOME,address_student_zip,clean,,,
,1,LZ_CSV,code_state,STG_SBAC_ASMT_OUTCOME,code_state,cleanUpper,,,
,1,LZ_CSV,date_assessed,STG_SBAC_ASMT_OUTCOME,date_assessed,date,,,
,1,LZ_CSV,dob_student,STG_SBAC_ASMT_OUTCOME,dob_student,date,,,
,1,LZ_CSV,email_student,STG_SBAC_ASMT_OUTCOME,email_student,clean,,,
,1,LZ_CSV,gender_student,STG_SBAC_ASMT_OUTCOME,gender_student,gender,,,
,1,LZ_CSV,grade_asmt,STG_SBAC_ASMT_OUTCOME,grade_asmt,clean,,,
,1,LZ_CSV,grade_enrolled,STG_SBAC_ASMT_OUTCOME,grade_enrolled,clean,,,
,1,LZ_CSV,guid_asmt,STG_SBAC_ASMT_OUTCOME,guid_asmt,clean,,,
,1,LZ_CSV,guid_asmt_location,STG_SBAC_ASMT_OUTCOME,guid_asmt_location,clean,,,
,1,LZ_CSV,guid_district,STG_SBAC_ASMT_OUTCOME,guid_district,clean,,,
,1,LZ_CSV,guid_school,STG_SBAC_ASMT_OUTCOME,guid_school,clean,,,
,1,LZ_CSV,guid_staff,STG_SBAC_ASMT_OUTCOME,guid_staff,clean,,,
,1,LZ_CSV,guid_student,STG_SBAC_ASMT_OUTCOME,guid_student,clean,,,
,1,LZ_CSV,name_asmt_location,STG_SBAC_ASMT_OUTCOME,name_asmt_location,clean,,,
,1,LZ_CSV,name_district,STG_SBAC_ASMT_OUTCOME,name_district,clean,,,
,1,LZ_CSV,name_school,STG_SBAC_ASMT_OUTCOME,name_school,clean,,,
,1,LZ_CSV,name_staff_first,STG_SBAC_ASMT_OUTCOME,name_staff_first,clean,,,
,1,LZ_CSV,name_staff_last,STG_SBAC_ASMT_OUTCOME,name_staff_last,clean,,,
,1,LZ_CSV,name_staff_middle,STG_SBAC_ASMT_OUTCOME,name_staff_middle,clean,,,
,1,LZ_CSV,name_state,STG_SBAC_ASMT_OUTCOME,name_state,clean,,,
,1,LZ_CSV,name_student_first,STG_SBAC_ASMT_OUTCOME,name_student_first,clean,,,
,1,LZ_CSV,name_student_last,STG_SBAC_ASMT_OUTCOME,name_student_last,clean,,,
,1,LZ_CSV,name_student_middle,STG_SBAC_ASMT_OUTCOME,name_student_middle,clean,,,
,1,LZ_CSV,score_asmt,STG_SBAC_ASMT_OUTCOME,score_asmt,clean,,,
,1,LZ_CSV,score_asmt_max,STG_SBAC_ASMT_OUTCOME,score_asmt_max,clean,,,
,1,LZ_CSV,score_asmt_min,STG_SBAC_ASMT_OUTCOME,score_asmt_min,clean,,,
,1,LZ_CSV,score_claim_1,STG_SBAC_ASMT_OUTCOME,score_claim_1,clean,,,
,1,LZ_CSV,score_claim_1_max,STG_SBAC_ASMT_OUTCOME,score_claim_1_max,clean,,,
,1,LZ_CSV,score_claim_1_min,STG_SBAC_ASMT_OUTCOME,score_claim_1_min,clean,,,
,1,LZ_CSV,score_claim_2,STG_SBAC_ASMT_OUTCOME,score_claim_2,clean,,,
,1,LZ_CSV,score_claim_2_max,STG_SBAC_ASMT_OUTCOME,score_claim_2_max,clean,,,
,1,LZ_CSV,score_claim_2_min,STG_SBAC_ASMT_OUTCOME,score_claim_2_min,clean,,,
,1,LZ_CSV,score_claim_3,STG_SBAC_ASMT_OUTCOME,score_claim_3,clean,,,
,1,LZ_CSV,score_claim_3_max,STG_SBAC_ASMT_OUTCOME,score_claim_3_max,clean,,,
,1,LZ_CSV,score_claim_3_min,STG_SBAC_ASMT_OUTCOME,score_claim_3_min,clean,,,
,1,LZ_CSV,score_claim_4,STG_SBAC_ASMT_OUTCOME,score_claim_4,clean,,,
,1,LZ_CSV,score_claim_4_max,STG_SBAC_ASMT_OUTCOME,score_claim_4_max,clean,,,
,1,LZ_CSV,score_claim_4_min,STG_SBAC_ASMT_OUTCOME,score_claim_4_min,clean,,,
,1,LZ_CSV,score_perf_level,STG_SBAC_ASMT_OUTCOME,score_perf_level,clean,,,
,1,LZ_CSV,type_school,STG_SBAC_ASMT_OUTCOME,type_school,schoolType,,,
,1,LZ_CSV,type_staff,STG_SBAC_ASMT_OUTCOME,type_staff,staffType,,,
,3,STG_SBAC_ASMT_OUTCOME,batch_id,INT_SBAC_ASMT_OUTCOME,batch_id,,,,
,3,STG_SBAC_ASMT_OUTCOME,guid_asmt,INT_SBAC_ASMT_OUTCOME,guid_asmt,,,,
,3,STG_SBAC_ASMT_OUTCOME,guid_asmt_location,INT_SBAC_ASMT_OUTCOME,guid_asmt_location,,,,
,3,STG_SBAC_ASMT_OUTCOME,name_asmt_location,INT_SBAC_ASMT_OUTCOME,name_asmt_location,,,,
,3,STG_SBAC_ASMT_OUTCOME,grade_asmt,INT_SBAC_ASMT_OUTCOME,grade_asmt,,,,
,3,STG_SBAC_ASMT_OUTCOME,name_state,INT_SBAC_ASMT_OUTCOME,name_state,,,,
,3,STG_SBAC_ASMT_OUTCOME,code_state,INT_SBAC_ASMT_OUTCOME,code_state,,,,
,3,STG_SBAC_ASMT_OUTCOME,guid_district,INT_SBAC_ASMT_OUTCOME,guid_district,,,,
,3,STG_SBAC_ASMT_OUTCOME,name_district,INT_SBAC_ASMT_OUTCOME,name_district,,,,
,3,STG_SBAC_ASMT_OUTCOME,guid_school,INT_SBAC_ASMT_OUTCOME,guid_school,,,,
,3,STG_SBAC_ASMT_OUTCOME,name_school,INT_SBAC_ASMT_OUTCOME,name_school,,,,
,3,STG_SBAC_ASMT_OUTCOME,type_school,INT_SBAC_ASMT_OUTCOME,type_school,,,,
,3,STG_SBAC_ASMT_OUTCOME,guid_student,INT_SBAC_ASMT_OUTCOME,guid_student,,,,
,3,STG_SBAC_ASMT_OUTCOME,name_student_first,INT_SBAC_ASMT_OUTCOME,name_student_first,,,,
,3,STG_SBAC_ASMT_OUTCOME,name_student_middle,INT_SBAC_ASMT_OUTCOME,name_student_middle,,,,
,3,STG_SBAC_ASMT_OUTCOME,name_student_last,INT_SBAC_ASMT_OUTCOME,name_student_last,,,,
,3,STG_SBAC_ASMT_OUTCOME,address_student_line1,INT_SBAC_ASMT_OUTCOME,address_student_line1,,,,
,3,STG_SBAC_ASMT_OUTCOME,address_student_line2,INT_SBAC_ASMT_OUTCOME,address_student_line2,,,,
,3,STG_SBAC_ASMT_OUTCOME,address_student_city,INT_SBAC_ASMT_OUTCOME,address_student_city,,,,
,3,STG_SBAC_ASMT_OUTCOME,address_student_zip,INT_SBAC_ASMT_OUTCOME,address_student_zip,,,,
,3,STG_SBAC_ASMT_OUTCOME,gender_student,INT_SBAC_ASMT_OUTCOME,gender_student,,,,
,3,STG_SBAC_ASMT_OUTCOME,email_student,INT_SBAC_ASMT_OUTCOME,email_student,,,,
,3,STG_SBAC_ASMT_OUTCOME,dob_student,INT_SBAC_ASMT_OUTCOME,dob_student,,,,
,3,STG_SBAC_ASMT_OUTCOME,grade_enrolled,INT_SBAC_ASMT_OUTCOME,grade_enrolled,,,,
,3,STG_SBAC_ASMT_OUTCOME,date_assessed,INT_SBAC_ASMT_OUTCOME,date_assessed,,,,
,3,STG_SBAC_ASMT_OUTCOME,date_taken_day,INT_SBAC_ASMT_OUTCOME,date_assessed,,,,
,3,STG_SBAC_ASMT_OUTCOME,date_taken_month,INT_SBAC_ASMT_OUTCOME,date_assessed,,,,
,3,STG_SBAC_ASMT_OUTCOME,date_taken_year,INT_SBAC_ASMT_OUTCOME,date_assessed,,,,
,3,STG_SBAC_ASMT_OUTCOME,score_asmt,INT_SBAC_ASMT_OUTCOME,score_asmt,,,,
,3,STG_SBAC_ASMT_OUTCOME,score_asmt_min,INT_SBAC_ASMT_OUTCOME,score_asmt_min,,,,
,3,STG_SBAC_ASMT_OUTCOME,score_asmt_max,INT_SBAC_ASMT_OUTCOME,score_asmt_max,,,,
,3,STG_SBAC_ASMT_OUTCOME,score_perf_level,INT_SBAC_ASMT_OUTCOME,score_perf_level,,,,
,3,STG_SBAC_ASMT_OUTCOME,score_claim_1,INT_SBAC_ASMT_OUTCOME,score_claim_1,,,,
,3,STG_SBAC_ASMT_OUTCOME,score_claim_1_min,INT_SBAC_ASMT_OUTCOME,score_claim_1_min,,,,
,3,STG_SBAC_ASMT_OUTCOME,score_claim_1_max,INT_SBAC_ASMT_OUTCOME,score_claim_1_max,,,,
,3,STG_SBAC_ASMT_OUTCOME,score_claim_2,INT_SBAC_ASMT_OUTCOME,score_claim_2,,,,
,3,STG_SBAC_ASMT_OUTCOME,score_claim_2_min,INT_SBAC_ASMT_OUTCOME,score_claim_2_min,,,,
,3,STG_SBAC_ASMT_OUTCOME,score_claim_2_max,INT_SBAC_ASMT_OUTCOME,score_claim_2_max,,,,
,3,STG_SBAC_ASMT_OUTCOME,score_claim_3,INT_SBAC_ASMT_OUTCOME,score_claim_3,,,,
,3,STG_SBAC_ASMT_OUTCOME,score_claim_3_min,INT_SBAC_ASMT_OUTCOME,score_claim_3_min,,,,
,3,STG_SBAC_ASMT_OUTCOME,score_claim_3_max,INT_SBAC_ASMT_OUTCOME,score_claim_3_max,,,,
,3,STG_SBAC_ASMT_OUTCOME,score_claim_4,INT_SBAC_ASMT_OUTCOME,score_claim_4,,,,
,3,STG_SBAC_ASMT_OUTCOME,score_claim_4_min,INT_SBAC_ASMT_OUTCOME,score_claim_4_min,,,,
,3,STG_SBAC_ASMT_OUTCOME,score_claim_4_max,INT_SBAC_ASMT_OUTCOME,score_claim_4_max,,,,
,3,STG_SBAC_ASMT_OUTCOME,guid_staff,INT_SBAC_ASMT_OUTCOME,guid_staff,,,,
,3,STG_SBAC_ASMT_OUTCOME,name_staff_first,INT_SBAC_ASMT_OUTCOME,name_staff_first,,,,
,3,STG_SBAC_ASMT_OUTCOME,name_staff_middle,INT_SBAC_ASMT_OUTCOME,name_staff_middle,,,,
,3,STG_SBAC_ASMT_OUTCOME,name_staff_last,INT_SBAC_ASMT_OUTCOME,name_staff_last,,,,
,3,STG_SBAC_ASMT_OUTCOME,type_staff,INT_SBAC_ASMT_OUTCOME,type_staff,,,,
,3,STG_SBAC_ASMT_OUTCOME,created_date,INT_SBAC_ASMT_OUTCOME,created_date,,,,
,3,INT_SBAC_ASMT_OUTCOME,"nextval('""GLOBAL_REC_SEQ""')",dim_asmt,asmt_rec_id,,,,
,4,INT_SBAC_ASMT_OUTCOME,guid_asmt,dim_asmt,asmt_guid,,,,
,4,INT_SBAC_ASMT_OUTCOME,type,dim_asmt,asmt_type,,,,
,4,INT_SBAC_ASMT_OUTCOME,period,dim_asmt,asmt_period,,,,
,4,INT_SBAC_ASMT_OUTCOME,year,dim_asmt,asmt_period_year,,,,
,4,INT_SBAC_ASMT_OUTCOME,version,dim_asmt,asmt_version,,,,
,4,INT_SBAC_ASMT_OUTCOME,subject,dim_asmt,asmt_subject,,,,
,4,INT_SBAC_ASMT_OUTCOME,name_claim_1,dim_asmt,asmt_claim_1_name,,,,
,4,INT_SBAC_ASMT_OUTCOME,name_claim_2,dim_asmt,asmt_claim_2_name,,,,
,4,INT_SBAC_ASMT_OUTCOME,name_claim_3,dim_asmt,asmt_claim_3_name,,,,
,4,INT_SBAC_ASMT_OUTCOME,name_claim_4,dim_asmt,asmt_claim_4_name,,,,
,4,INT_SBAC_ASMT_OUTCOME,name_perf_lvl_1,dim_asmt,asmt_perf_lvl_name_1,,,,
,4,INT_SBAC_ASMT_OUTCOME,name_perf_lvl_2,dim_asmt,asmt_perf_lvl_name_2,,,,
,4,INT_SBAC_ASMT_OUTCOME,name_perf_lvl_3,dim_asmt,asmt_perf_lvl_name_3,,,,
,4,INT_SBAC_ASMT_OUTCOME,name_perf_lvl_4,dim_asmt,asmt_perf_lvl_name_4,,,,
,4,INT_SBAC_ASMT_OUTCOME,name_perf_lvl_5,dim_asmt,asmt_perf_lvl_name_5,,,,
,4,INT_SBAC_ASMT_OUTCOME,score_overall_min,dim_asmt,asmt_score_min,,,,
,4,INT_SBAC_ASMT_OUTCOME,score_overall_max,dim_asmt,asmt_score_max,,,,
,4,INT_SBAC_ASMT_OUTCOME,score_claim_1_min,dim_asmt,asmt_claim_1_score_min,,,,
,4,INT_SBAC_ASMT_OUTCOME,score_claim_1_max,dim_asmt,asmt_claim_1_score_max,,,,
,4,INT_SBAC_ASMT_OUTCOME,score_claim_1_weight,dim_asmt,asmt_claim_1_score_weight,,,,
,4,INT_SBAC_ASMT_OUTCOME,score_claim_2_min,dim_asmt,asmt_claim_2_score_min,,,,
,4,INT_SBAC_ASMT_OUTCOME,score_claim_2_max,dim_asmt,asmt_claim_2_score_max,,,,
,4,INT_SBAC_ASMT_OUTCOME,score_claim_2_weight,dim_asmt,asmt_claim_2_score_weight,,,,
,4,INT_SBAC_ASMT_OUTCOME,score_claim_3_min,dim_asmt,asmt_claim_3_score_min,,,,
,4,INT_SBAC_ASMT_OUTCOME,score_claim_3_max,dim_asmt,asmt_claim_3_score_max,,,,
,4,INT_SBAC_ASMT_OUTCOME,score_claim_3_weight,dim_asmt,asmt_claim_3_score_weight,,,,
,4,INT_SBAC_ASMT_OUTCOME,score_claim_4_min,dim_asmt,asmt_claim_4_score_min,,,,
,4,INT_SBAC_ASMT_OUTCOME,score_claim_4_max,dim_asmt,asmt_claim_4_score_max,,,,
,4,INT_SBAC_ASMT_OUTCOME,score_claim_4_weight,dim_asmt,asmt_claim_4_score_weight,,,,
,4,INT_SBAC_ASMT_OUTCOME,score_cut_point_1,dim_asmt,asmt_cut_point_1,,,,
,4,INT_SBAC_ASMT_OUTCOME,score_cut_point_2,dim_asmt,asmt_cut_point_2,,,,
,4,INT_SBAC_ASMT_OUTCOME,score_cut_point_3,dim_asmt,asmt_cut_point_3,,,,
,4,INT_SBAC_ASMT_OUTCOME,score_cut_point_4,dim_asmt,asmt_cut_point_4,,,,
,4,INT_SBAC_ASMT_OUTCOME,NULL,dim_asmt,asmt_custom_metadata,,,,
,4,INT_SBAC_ASMT_OUTCOME,"TO_CHAR(CURRENT_TIMESTAMP, 'yyyymmdd')",dim_asmt,from_date,,,,
,4,INT_SBAC_ASMT_OUTCOME,99991231',dim_asmt,to_date,,,,
,4,INT_SBAC_ASMT_OUTCOME,TRUE,dim_asmt,most_recent,,,,
,4,INT_SBAC_ASMT_OUTCOME,"nextval('""GLOBAL_REC_SEQ""')",dim_inst_hier,inst_hier_rec_id,,,,
,4,INT_SBAC_ASMT_OUTCOME,name_state,dim_inst_hier,state_name,,,,
,4,INT_SBAC_ASMT_OUTCOME,code_state,dim_inst_hier,state_code,,,,
,4,INT_SBAC_ASMT_OUTCOME,guid_district,dim_inst_hier,district_guid,,,,
,4,INT_SBAC_ASMT_OUTCOME,name_district,dim_inst_hier,district_name,,,,
,4,INT_SBAC_ASMT_OUTCOME,guid_school,dim_inst_hier,school_guid,,,,
,4,INT_SBAC_ASMT_OUTCOME,name_school,dim_inst_hier,school_name,,,,
,4,INT_SBAC_ASMT_OUTCOME,type_school,dim_inst_hier,school_category,,,,
,4,INT_SBAC_ASMT_OUTCOME,"to_char(CURRENT_TIMESTAMP, 'yyyymmdd')",dim_inst_hier,from_date,,,,
,4,INT_SBAC_ASMT_OUTCOME,'99991231',dim_inst_hier,to_date,,,,
,4,INT_SBAC_ASMT_OUTCOME,TRUE,dim_inst_hier,most_recent,,,,
,4,INT_SBAC_ASMT_OUTCOME,"nextval('""GLOBAL_REC_SEQ""')",dim_student,student_rec_id,,,,
,4,INT_SBAC_ASMT_OUTCOME,guid_student,dim_student,student_guid,,,,
,4,INT_SBAC_ASMT_OUTCOME,name_student_first,dim_student,first_name,,,,
,4,INT_SBAC_ASMT_OUTCOME,name_student_middle,dim_student,middle_name,,,,
,4,INT_SBAC_ASMT_OUTCOME,name_student_last,dim_student,last_name,,,,
,4,INT_SBAC_ASMT_OUTCOME,address_student_line1,dim_student,address_1,,,,
,4,INT_SBAC_ASMT_OUTCOME,address_student_line2,dim_student,address_2,,,,
,4,INT_SBAC_ASMT_OUTCOME,address_student_city,dim_student,city,,,,
,4,INT_SBAC_ASMT_OUTCOME,address_student_zip,dim_student,zip_code,,,,
,4,INT_SBAC_ASMT_OUTCOME,gender_student,dim_student,gender,,,,
,4,INT_SBAC_ASMT_OUTCOME,email_student,dim_student,email,,,,
,4,INT_SBAC_ASMT_OUTCOME,dob_student,dim_student,dob,,,,
,4,INT_SBAC_ASMT_OUTCOME,' ',dim_student,section_guid,,,,
,4,INT_SBAC_ASMT_OUTCOME,grade_enrolled,dim_student,grade,,,,
,4,INT_SBAC_ASMT_OUTCOME,code_state,dim_student,state_code,,,,
,4,INT_SBAC_ASMT_OUTCOME,guid_district,dim_student,district_guid,,,,
,4,INT_SBAC_ASMT_OUTCOME,guid_school,dim_student,school_guid,,,,
,4,INT_SBAC_ASMT_OUTCOME,"to_char(CURRENT_TIMESTAMP, 'yyyymmdd')",dim_student,from_date,,,,
,4,INT_SBAC_ASMT_OUTCOME,'99991231',dim_student,to_date,,,,
,4,INT_SBAC_ASMT_OUTCOME,TRUE,dim_student,most_recent,,,,
,4,INT_SBAC_ASMT_OUTCOME,"nextval('""GLOBAL_REC_SEQ""')",dim_staff,staff_rec_id,,,,
,4,INT_SBAC_ASMT_OUTCOME,guid_staff,dim_staff,staff_guid,,,,
,4,INT_SBAC_ASMT_OUTCOME,name_staff_first,dim_staff,first_name,,,,
,4,INT_SBAC_ASMT_OUTCOME,name_staff_middle,dim_staff,middle_name,,,,
,4,INT_SBAC_ASMT_OUTCOME,name_staff_last,dim_staff,last_name,,,,
,4,INT_SBAC_ASMT_OUTCOME, ',dim_staff,section_guid,,,,
,4,INT_SBAC_ASMT_OUTCOME,type_staff,dim_staff,hier_user_type,,,,
,4,INT_SBAC_ASMT_OUTCOME,code_state,dim_staff,state_code,,,,
,4,INT_SBAC_ASMT_OUTCOME,guid_district,dim_staff,district_guid,,,,
,4,INT_SBAC_ASMT_OUTCOME,guid_school,dim_staff,school_guid,,,,
,4,INT_SBAC_ASMT_OUTCOME,"to_char(CURRENT_TIMESTAMP, 'yyyymmdd')",dim_staff,from_date,,,,
,4,INT_SBAC_ASMT_OUTCOME,'99991231',dim_staff,to_date,,,,
,4,INT_SBAC_ASMT_OUTCOME,TRUE,dim_staff,most_recent,,,,
